RULING,RULING_DATE,Found_HTS8,brief_description
NY N350729,7/24/25,9817.00.96,Other articles specially designed or adapted for the use or benefit of the blind or other physically or mentally handicapped persons
NY N350729,7/24/25,9817.00.96,Other articles specially designed or adapted for the use or benefit of the blind or other physically or mentally handicapped persons
NY N350729,7/24/25,9817.00.96,Other articles specially designed or adapted for the use or benefit of the blind or other physically or mentally handicapped persons
NY N350797,7/24/25,6211.33.90,"Men's or boys' track suits or other garments nesoi, not knitted or crocheted, of man-made fibers, o/than  rec perf outwear"
NY N350797,7/24/25,6211.33.90,"Men's or boys' track suits or other garments nesoi, not knitted or crocheted, of man-made fibers, o/than  rec perf outwear"
NY N350797,7/24/25,6211.33.90,"Men's or boys' track suits or other garments nesoi, not knitted or crocheted, of man-made fibers, o/than  rec perf outwear"
NY N350797,7/24/25,6211.33.90,"Men's or boys' track suits or other garments nesoi, not knitted or crocheted, of man-made fibers, o/than  rec perf outwear"
NY N350797,7/24/25,6211.33.90,"Men's or boys' track suits or other garments nesoi, not knitted or crocheted, of man-made fibers, o/than  rec perf outwear"
NY N350797,7/24/25,6211.33.90,"Men's or boys' track suits or other garments nesoi, not knitted or crocheted, of man-made fibers, o/than  rec perf outwear"
NY N350797,7/24/25,6211.33.90,"Men's or boys' track suits or other garments nesoi, not knitted or crocheted, of man-made fibers, o/than  rec perf outwear"
NY N350797,7/24/25,9903.01.25,
NY N351220,7/24/25,9903.01.27,
NY N351220,7/24/25,9903.01.03,
NY N351220,7/24/25,9503.00.00,"Toys, including riding toys o/than bicycles, puzzles, reduced scale models"
NY N351220,7/24/25,9503.00.00,"Toys, including riding toys o/than bicycles, puzzles, reduced scale models"
NY N351220,7/24/25,9503.00.00,"Toys, including riding toys o/than bicycles, puzzles, reduced scale models"
NY N351220,7/24/25,9503.00.00,"Toys, including riding toys o/than bicycles, puzzles, reduced scale models"
NY N351220,7/24/25,9503.00.00,"Toys, including riding toys o/than bicycles, puzzles, reduced scale models"
NY N351220,7/24/25,9503.00.00,"Toys, including riding toys o/than bicycles, puzzles, reduced scale models"
NY N351220,7/24/25,4901.99.00,"Printed books, brochures, leaflets and similar printed matter, other than in single sheets"
NY N351220,7/24/25,4901.99.00,"Printed books, brochures, leaflets and similar printed matter, other than in single sheets"
NY N351220,7/24/25,4901.99.00,"Printed books, brochures, leaflets and similar printed matter, other than in single sheets"
NY N351220,7/24/25,4901.99.00,"Printed books, brochures, leaflets and similar printed matter, other than in single sheets"
NY N351220,7/24/25,4901.99.00,"Printed books, brochures, leaflets and similar printed matter, other than in single sheets"
NY N351220,7/24/25,4901.99.00,"Printed books, brochures, leaflets and similar printed matter, other than in single sheets"
NY N351220,7/24/25,4901.10.00,"Printed books, brochures, leaflets and similar printed matter in single sheets, whether or not folded"
NY N351220,7/24/25,4901.10.00,"Printed books, brochures, leaflets and similar printed matter in single sheets, whether or not folded"
NY N351220,7/24/25,4901.10.00,"Printed books, brochures, leaflets and similar printed matter in single sheets, whether or not folded"
NY N351220,7/24/25,4901.10.00,"Printed books, brochures, leaflets and similar printed matter in single sheets, whether or not folded"
NY N351220,7/24/25,4901.10.00,"Printed books, brochures, leaflets and similar printed matter in single sheets, whether or not folded"
NY N351220,7/24/25,4901.10.00,"Printed books, brochures, leaflets and similar printed matter in single sheets, whether or not folded"
NY N351232,7/24/25,9817.00.96,Other articles specially designed or adapted for the use or benefit of the blind or other physically or mentally handicapped persons
NY N351232,7/24/25,9817.00.96,Other articles specially designed or adapted for the use or benefit of the blind or other physically or mentally handicapped persons
NY N351232,7/24/25,9817.00.96,Other articles specially designed or adapted for the use or benefit of the blind or other physically or mentally handicapped persons
NY N351232,7/24/25,9817.00.96,Other articles specially designed or adapted for the use or benefit of the blind or other physically or mentally handicapped persons
NY N351232,7/24/25,9817.00.96,Other articles specially designed or adapted for the use or benefit of the blind or other physically or mentally handicapped persons
NY N351232,7/24/25,9817.00.96,Other articles specially designed or adapted for the use or benefit of the blind or other physically or mentally handicapped persons
NY N351232,7/24/25,8525.89.50,"Television cameras, digital cameras and video camera recorders, NESOI, o/t high speed, radiation-hardened or night vision"
NY N351232,7/24/25,8525.89.50,"Television cameras, digital cameras and video camera recorders, NESOI, o/t high speed, radiation-hardened or night vision"
NY N351232,7/24/25,8525.89.50,"Television cameras, digital cameras and video camera recorders, NESOI, o/t high speed, radiation-hardened or night vision"
NY N351232,7/24/25,8525.89.50,"Television cameras, digital cameras and video camera recorders, NESOI, o/t high speed, radiation-hardened or night vision"
NY N351293,7/24/25,9817.00.96,Other articles specially designed or adapted for the use or benefit of the blind or other physically or mentally handicapped persons
