RULING,RULING_DATE,Found_HTS8,brief_description
NY N347290,4/30/25,8505.11.00,"Permanent magnets and articles intended to become permanent magnets after magnetization, of metal"
NY N347290,4/30/25,8505.11.00,"Permanent magnets and articles intended to become permanent magnets after magnetization, of metal"
NY N347290,4/30/25,9903.01.63,
NY N347537,4/30/25,9903.01.24,
NY N347537,4/30/25,3926.90.99,"Other articles of plastic, nesoi"
NY N347537,4/30/25,3926.90.99,"Other articles of plastic, nesoi"
NY N347537,4/30/25,3926.90.99,"Other articles of plastic, nesoi"
NY N347537,4/30/25,3926.90.99,"Other articles of plastic, nesoi"
NY N347537,4/30/25,3926.90.99,"Other articles of plastic, nesoi"
NY N347537,4/30/25,3926.90.99,"Other articles of plastic, nesoi"
NY N347537,4/30/25,3926.90.99,"Other articles of plastic, nesoi"
NY N347537,4/30/25,9903.01.63,
NY N347537,4/30/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347537,4/30/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347537,4/30/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347537,4/30/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347537,4/30/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347537,4/30/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347537,4/30/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347537,4/30/25,8423.10.00,"Personal weighing machines, including baby scales; household scales"
NY N347537,4/30/25,8423.10.00,"Personal weighing machines, including baby scales; household scales"
NY N347537,4/30/25,8423.10.00,"Personal weighing machines, including baby scales; household scales"
NY N347537,4/30/25,8423.10.00,"Personal weighing machines, including baby scales; household scales"
NY N347537,4/30/25,8423.10.00,"Personal weighing machines, including baby scales; household scales"
NY N347537,4/30/25,8423.10.00,"Personal weighing machines, including baby scales; household scales"
NY N348181,4/30/25,9903.01.24,
NY N348181,4/30/25,9903.88.01,"Articles the product of China, as enumerated in note 20(b) to subchapter III of Chapter 99"
NY N348181,4/30/25,9903.88.01,"Articles the product of China, as enumerated in note 20(b) to subchapter III of Chapter 99"
NY N348181,4/30/25,9903.88.01,"Articles the product of China, as enumerated in note 20(b) to subchapter III of Chapter 99"
NY N348181,4/30/25,9903.88.01,"Articles the product of China, as enumerated in note 20(b) to subchapter III of Chapter 99"
NY N348181,4/30/25,9903.88.01,"Articles the product of China, as enumerated in note 20(b) to subchapter III of Chapter 99"
NY N348181,4/30/25,9903.88.01,"Articles the product of China, as enumerated in note 20(b) to subchapter III of Chapter 99"
NY N348181,4/30/25,9031.80.80,"Measuring and checking instruments, appliances and machines, nesoi"
NY N348181,4/30/25,9031.80.80,"Measuring and checking instruments, appliances and machines, nesoi"
NY N348181,4/30/25,9031.80.80,"Measuring and checking instruments, appliances and machines, nesoi"
NY N348181,4/30/25,9031.80.80,"Measuring and checking instruments, appliances and machines, nesoi"
NY N348181,4/30/25,9031.80.80,"Measuring and checking instruments, appliances and machines, nesoi"
NY N348181,4/30/25,9031.80.80,"Measuring and checking instruments, appliances and machines, nesoi"
NY N348181,4/30/25,9903.01.63,
NY N348345,4/30/25,9903.01.10,
NY N348345,4/30/25,9506.91.00,"Arts. and equip. for general physical exercise, gymnastics or athletics and parts & accessories thereof"
NY N348345,4/30/25,9506.91.00,"Arts. and equip. for general physical exercise, gymnastics or athletics and parts & accessories thereof"
NY N348345,4/30/25,9506.91.00,"Arts. and equip. for general physical exercise, gymnastics or athletics and parts & accessories thereof"
NY N348345,4/30/25,9506.91.00,"Arts. and equip. for general physical exercise, gymnastics or athletics and parts & accessories thereof"
NY N348345,4/30/25,9506.91.00,"Arts. and equip. for general physical exercise, gymnastics or athletics and parts & accessories thereof"
NY N348345,4/30/25,9506.91.00,"Arts. and equip. for general physical exercise, gymnastics or athletics and parts & accessories thereof"
NY N348345,4/30/25,9506.91.00,"Arts. and equip. for general physical exercise, gymnastics or athletics and parts & accessories thereof"
NY N348345,4/30/25,9506.91.00,"Arts. and equip. for general physical exercise, gymnastics or athletics and parts & accessories thereof"
NY N348345,4/30/25,9903.85.08,
NY N347357,4/29/25,6110.20.20,"Sweaters, pullovers and similar articles, knitted or crocheted, of cotton, nesoi"
NY N347357,4/29/25,6110.20.20,"Sweaters, pullovers and similar articles, knitted or crocheted, of cotton, nesoi"
NY N347357,4/29/25,6110.20.20,"Sweaters, pullovers and similar articles, knitted or crocheted, of cotton, nesoi"
NY N347357,4/29/25,6110.20.20,"Sweaters, pullovers and similar articles, knitted or crocheted, of cotton, nesoi"
NY N347357,4/29/25,6110.20.20,"Sweaters, pullovers and similar articles, knitted or crocheted, of cotton, nesoi"
NY N347357,4/29/25,6110.20.20,"Sweaters, pullovers and similar articles, knitted or crocheted, of cotton, nesoi"
NY N347357,4/29/25,6110.20.20,"Sweaters, pullovers and similar articles, knitted or crocheted, of cotton, nesoi"
NY N347357,4/29/25,9903.01.25,
NY N347450,4/29/25,9903.01.24,
NY N347450,4/29/25,9506.99.60,"Athletic and sports articles and equipment nesoi, and parts & accessories thereof nesoi"
NY N347450,4/29/25,9506.99.60,"Athletic and sports articles and equipment nesoi, and parts & accessories thereof nesoi"
NY N347450,4/29/25,9506.99.60,"Athletic and sports articles and equipment nesoi, and parts & accessories thereof nesoi"
NY N347450,4/29/25,9506.99.60,"Athletic and sports articles and equipment nesoi, and parts & accessories thereof nesoi"
NY N347450,4/29/25,9506.99.60,"Athletic and sports articles and equipment nesoi, and parts & accessories thereof nesoi"
NY N347450,4/29/25,9506.99.60,"Athletic and sports articles and equipment nesoi, and parts & accessories thereof nesoi"
NY N347450,4/29/25,9506.99.60,"Athletic and sports articles and equipment nesoi, and parts & accessories thereof nesoi"
NY N347450,4/29/25,9506.99.60,"Athletic and sports articles and equipment nesoi, and parts & accessories thereof nesoi"
NY N347450,4/29/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347450,4/29/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347450,4/29/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347450,4/29/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347450,4/29/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347450,4/29/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347450,4/29/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347450,4/29/25,9903.01.63,
NY N347452,4/29/25,9903.01.24,
NY N347452,4/29/25,9903.01.63,
NY N347452,4/29/25,9506.39.00,Golf equipment (o/than golf footwear) nesoi and parts & accessories thereof
NY N347452,4/29/25,9506.39.00,Golf equipment (o/than golf footwear) nesoi and parts & accessories thereof
NY N347452,4/29/25,9506.39.00,Golf equipment (o/than golf footwear) nesoi and parts & accessories thereof
NY N347452,4/29/25,9506.39.00,Golf equipment (o/than golf footwear) nesoi and parts & accessories thereof
NY N347452,4/29/25,9506.39.00,Golf equipment (o/than golf footwear) nesoi and parts & accessories thereof
NY N347452,4/29/25,9506.39.00,Golf equipment (o/than golf footwear) nesoi and parts & accessories thereof
NY N347452,4/29/25,9506.39.00,Golf equipment (o/than golf footwear) nesoi and parts & accessories thereof
NY N347453,4/29/25,9903.01.24,
NY N347453,4/29/25,9903.01.63,
NY N347453,4/29/25,9506.39.00,Golf equipment (o/than golf footwear) nesoi and parts & accessories thereof
NY N347453,4/29/25,9506.39.00,Golf equipment (o/than golf footwear) nesoi and parts & accessories thereof
NY N347453,4/29/25,9506.39.00,Golf equipment (o/than golf footwear) nesoi and parts & accessories thereof
NY N347453,4/29/25,9506.39.00,Golf equipment (o/than golf footwear) nesoi and parts & accessories thereof
NY N347453,4/29/25,9506.39.00,Golf equipment (o/than golf footwear) nesoi and parts & accessories thereof
NY N347453,4/29/25,9506.39.00,Golf equipment (o/than golf footwear) nesoi and parts & accessories thereof
NY N347453,4/29/25,9506.39.00,Golf equipment (o/than golf footwear) nesoi and parts & accessories thereof
NY N347454,4/29/25,9903.01.24,
NY N347454,4/29/25,9903.01.63,
NY N347454,4/29/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347454,4/29/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347454,4/29/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347454,4/29/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347454,4/29/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347454,4/29/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347454,4/29/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347454,4/29/25,9504.90.90,"Articles nesoi for arcade, table or parlor games & parts & access.; automatic bowling alley equipment & parts and accessories thereof"
NY N347454,4/29/25,9504.90.90,"Articles nesoi for arcade, table or parlor games & parts & access.; automatic bowling alley equipment & parts and accessories thereof"
NY N347454,4/29/25,9504.90.90,"Articles nesoi for arcade, table or parlor games & parts & access.; automatic bowling alley equipment & parts and accessories thereof"
NY N347454,4/29/25,9504.90.90,"Articles nesoi for arcade, table or parlor games & parts & access.; automatic bowling alley equipment & parts and accessories thereof"
NY N347454,4/29/25,9504.90.90,"Articles nesoi for arcade, table or parlor games & parts & access.; automatic bowling alley equipment & parts and accessories thereof"
NY N347454,4/29/25,9504.90.90,"Articles nesoi for arcade, table or parlor games & parts & access.; automatic bowling alley equipment & parts and accessories thereof"
NY N347455,4/29/25,9903.01.24,
NY N347455,4/29/25,9506.99.60,"Athletic and sports articles and equipment nesoi, and parts & accessories thereof nesoi"
NY N347455,4/29/25,9506.99.60,"Athletic and sports articles and equipment nesoi, and parts & accessories thereof nesoi"
NY N347455,4/29/25,9506.99.60,"Athletic and sports articles and equipment nesoi, and parts & accessories thereof nesoi"
NY N347455,4/29/25,9506.99.60,"Athletic and sports articles and equipment nesoi, and parts & accessories thereof nesoi"
NY N347455,4/29/25,9506.99.60,"Athletic and sports articles and equipment nesoi, and parts & accessories thereof nesoi"
NY N347455,4/29/25,9506.99.60,"Athletic and sports articles and equipment nesoi, and parts & accessories thereof nesoi"
NY N347455,4/29/25,9506.99.60,"Athletic and sports articles and equipment nesoi, and parts & accessories thereof nesoi"
NY N347455,4/29/25,9506.99.60,"Athletic and sports articles and equipment nesoi, and parts & accessories thereof nesoi"
NY N347455,4/29/25,9903.85.08,
NY N347455,4/29/25,9903.01.63,
NY N347455,4/29/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347455,4/29/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347455,4/29/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347455,4/29/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347455,4/29/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347455,4/29/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347455,4/29/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347458,4/29/25,9903.01.24,
NY N347458,4/29/25,9903.01.63,
NY N347458,4/29/25,9506.39.00,Golf equipment (o/than golf footwear) nesoi and parts & accessories thereof
NY N347458,4/29/25,9506.39.00,Golf equipment (o/than golf footwear) nesoi and parts & accessories thereof
NY N347458,4/29/25,9506.39.00,Golf equipment (o/than golf footwear) nesoi and parts & accessories thereof
NY N347458,4/29/25,9506.39.00,Golf equipment (o/than golf footwear) nesoi and parts & accessories thereof
NY N347458,4/29/25,9506.39.00,Golf equipment (o/than golf footwear) nesoi and parts & accessories thereof
NY N347458,4/29/25,9506.39.00,Golf equipment (o/than golf footwear) nesoi and parts & accessories thereof
NY N347458,4/29/25,9506.39.00,Golf equipment (o/than golf footwear) nesoi and parts & accessories thereof
NY N347739,4/29/25,9903.01.32,
NY N347739,4/29/25,3824.99.93,"Chemical products and preparations and residual products of the chemical or allied industries, nesoi"
NY N347739,4/29/25,3824.99.93,"Chemical products and preparations and residual products of the chemical or allied industries, nesoi"
NY N347739,4/29/25,3824.99.93,"Chemical products and preparations and residual products of the chemical or allied industries, nesoi"
NY N347739,4/29/25,3824.99.93,"Chemical products and preparations and residual products of the chemical or allied industries, nesoi"
HQ H240506,4/29/25,7307.11.00,"Cast nonmalleable iron, fittings for tubes or pipes"
HQ H240506,4/29/25,7307.11.00,"Cast nonmalleable iron, fittings for tubes or pipes"
HQ H240506,4/29/25,7307.11.00,"Cast nonmalleable iron, fittings for tubes or pipes"
HQ H240506,4/29/25,7307.11.00,"Cast nonmalleable iron, fittings for tubes or pipes"
HQ H240506,4/29/25,7307.11.00,"Cast nonmalleable iron, fittings for tubes or pipes"
HQ H240506,4/29/25,7307.11.00,"Cast nonmalleable iron, fittings for tubes or pipes"
HQ H240506,4/29/25,7307.11.00,"Cast nonmalleable iron, fittings for tubes or pipes"
HQ H240506,4/29/25,7307.11.00,"Cast nonmalleable iron, fittings for tubes or pipes"
HQ H240506,4/29/25,7318.22.00,"Iron or steel, washers (o/than spring washers and other lock washers)"
HQ H240506,4/29/25,7318.22.00,"Iron or steel, washers (o/than spring washers and other lock washers)"
HQ H240506,4/29/25,7318.22.00,"Iron or steel, washers (o/than spring washers and other lock washers)"
HQ H240506,4/29/25,7318.22.00,"Iron or steel, washers (o/than spring washers and other lock washers)"
HQ H240506,4/29/25,7318.22.00,"Iron or steel, washers (o/than spring washers and other lock washers)"
HQ H240506,4/29/25,7318.22.00,"Iron or steel, washers (o/than spring washers and other lock washers)"
HQ H240506,4/29/25,7304.29.50,"Iron (o/than cast) or nonalloy, seamless tubing, of a kind used in drilling for oil or gas"
HQ H240506,4/29/25,7304.29.50,"Iron (o/than cast) or nonalloy, seamless tubing, of a kind used in drilling for oil or gas"
HQ H240506,4/29/25,7304.29.50,"Iron (o/than cast) or nonalloy, seamless tubing, of a kind used in drilling for oil or gas"
HQ H240506,4/29/25,7304.29.50,"Iron (o/than cast) or nonalloy, seamless tubing, of a kind used in drilling for oil or gas"
HQ H240506,4/29/25,7304.29.50,"Iron (o/than cast) or nonalloy, seamless tubing, of a kind used in drilling for oil or gas"
HQ H240506,4/29/25,7304.29.50,"Iron (o/than cast) or nonalloy, seamless tubing, of a kind used in drilling for oil or gas"
HQ H240506,4/29/25,7304.90.70,"Alloy steel (o/than stainless), seamless, tubes, pipes and hollow profiles, o/than circ. cross sect., w/wall thickness less than 4 mm"
HQ H240506,4/29/25,7304.90.70,"Alloy steel (o/than stainless), seamless, tubes, pipes and hollow profiles, o/than circ. cross sect., w/wall thickness less than 4 mm"
HQ H240506,4/29/25,7304.90.70,"Alloy steel (o/than stainless), seamless, tubes, pipes and hollow profiles, o/than circ. cross sect., w/wall thickness less than 4 mm"
HQ H240506,4/29/25,7304.90.70,"Alloy steel (o/than stainless), seamless, tubes, pipes and hollow profiles, o/than circ. cross sect., w/wall thickness less than 4 mm"
HQ H240506,4/29/25,7304.90.70,"Alloy steel (o/than stainless), seamless, tubes, pipes and hollow profiles, o/than circ. cross sect., w/wall thickness less than 4 mm"
HQ H240506,4/29/25,7304.90.70,"Alloy steel (o/than stainless), seamless, tubes, pipes and hollow profiles, o/than circ. cross sect., w/wall thickness less than 4 mm"
HQ H240506,4/29/25,4016.99.60,Articles of noncellular vulcanized synthetic rubber other than hard rubber
HQ H240506,4/29/25,4016.99.60,Articles of noncellular vulcanized synthetic rubber other than hard rubber
HQ H240506,4/29/25,4016.99.60,Articles of noncellular vulcanized synthetic rubber other than hard rubber
HQ H240506,4/29/25,4016.99.60,Articles of noncellular vulcanized synthetic rubber other than hard rubber
HQ H240506,4/29/25,4016.99.60,Articles of noncellular vulcanized synthetic rubber other than hard rubber
HQ H240506,4/29/25,4016.99.60,Articles of noncellular vulcanized synthetic rubber other than hard rubber
HQ H240506,4/29/25,4016.99.60,Articles of noncellular vulcanized synthetic rubber other than hard rubber
HQ H240506,4/29/25,7318.15.80,"Iron or steel, screws and bolts, nesoi, having shanks or threads 6 mm or more in diameter"
HQ H240506,4/29/25,7318.15.80,"Iron or steel, screws and bolts, nesoi, having shanks or threads 6 mm or more in diameter"
HQ H240506,4/29/25,7318.15.80,"Iron or steel, screws and bolts, nesoi, having shanks or threads 6 mm or more in diameter"
HQ H240506,4/29/25,7318.15.80,"Iron or steel, screws and bolts, nesoi, having shanks or threads 6 mm or more in diameter"
HQ H240506,4/29/25,7318.15.80,"Iron or steel, screws and bolts, nesoi, having shanks or threads 6 mm or more in diameter"
HQ H240506,4/29/25,7318.15.80,"Iron or steel, screws and bolts, nesoi, having shanks or threads 6 mm or more in diameter"
HQ H240506,4/29/25,7318.15.80,"Iron or steel, screws and bolts, nesoi, having shanks or threads 6 mm or more in diameter"
HQ H240506,4/29/25,7318.15.80,"Iron or steel, screws and bolts, nesoi, having shanks or threads 6 mm or more in diameter"
HQ H240506,4/29/25,8421.99.00,Parts for filtering or purifying machinery or apparatus for liquids or gases
HQ H240506,4/29/25,8421.99.00,Parts for filtering or purifying machinery or apparatus for liquids or gases
HQ H240506,4/29/25,8421.99.00,Parts for filtering or purifying machinery or apparatus for liquids or gases
HQ H240506,4/29/25,7318.16.00,"Iron or steel, nuts"
HQ H240506,4/29/25,7318.16.00,"Iron or steel, nuts"
HQ H240506,4/29/25,7318.16.00,"Iron or steel, nuts"
HQ H240506,4/29/25,7318.16.00,"Iron or steel, nuts"
HQ H240506,4/29/25,7318.16.00,"Iron or steel, nuts"
HQ H240506,4/29/25,7318.16.00,"Iron or steel, nuts"
HQ H240506,4/29/25,8414.10.00,Vacuum pumps
HQ H240506,4/29/25,8414.10.00,Vacuum pumps
HQ H240506,4/29/25,8414.10.00,Vacuum pumps
HQ H240506,4/29/25,8414.10.00,Vacuum pumps
HQ H240506,4/29/25,8414.10.00,Vacuum pumps
HQ H240506,4/29/25,8414.10.00,Vacuum pumps
HQ H240506,4/29/25,8414.10.00,Vacuum pumps
HQ H240506,4/29/25,7318.15.50,"Iron or steel, threaded studs"
HQ H240506,4/29/25,7318.15.50,"Iron or steel, threaded studs"
HQ H240506,4/29/25,7318.15.50,"Iron or steel, threaded studs"
HQ H240506,4/29/25,7318.15.50,"Iron or steel, threaded studs"
HQ H240506,4/29/25,7318.15.50,"Iron or steel, threaded studs"
HQ H240506,4/29/25,7318.15.50,"Iron or steel, threaded studs"
HQ H240506,4/29/25,3917.32.00,"Tubes, pipes and hoses, of plastics, other than rigid, not reinforced or otherwise combined with other materials, without fittings"
HQ H240506,4/29/25,3917.32.00,"Tubes, pipes and hoses, of plastics, other than rigid, not reinforced or otherwise combined with other materials, without fittings"
HQ H240506,4/29/25,3917.32.00,"Tubes, pipes and hoses, of plastics, other than rigid, not reinforced or otherwise combined with other materials, without fittings"
HQ H240506,4/29/25,3917.32.00,"Tubes, pipes and hoses, of plastics, other than rigid, not reinforced or otherwise combined with other materials, without fittings"
HQ H240506,4/29/25,3917.32.00,"Tubes, pipes and hoses, of plastics, other than rigid, not reinforced or otherwise combined with other materials, without fittings"
HQ H240506,4/29/25,3917.32.00,"Tubes, pipes and hoses, of plastics, other than rigid, not reinforced or otherwise combined with other materials, without fittings"
HQ H240506,4/29/25,3917.32.00,"Tubes, pipes and hoses, of plastics, other than rigid, not reinforced or otherwise combined with other materials, without fittings"
HQ H240506,4/29/25,3917.32.00,"Tubes, pipes and hoses, of plastics, other than rigid, not reinforced or otherwise combined with other materials, without fittings"
NY N347317,4/28/25,9903.01.24,
NY N347317,4/28/25,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N347317,4/28/25,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N347317,4/28/25,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N347317,4/28/25,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N347317,4/28/25,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N347317,4/28/25,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N347317,4/28/25,9403.60.80,Furniture (o/than seats & o/than of 9402) of wooden (o/than bentwood) nesoi
NY N347317,4/28/25,9403.60.80,Furniture (o/than seats & o/than of 9402) of wooden (o/than bentwood) nesoi
NY N347317,4/28/25,9403.60.80,Furniture (o/than seats & o/than of 9402) of wooden (o/than bentwood) nesoi
NY N347317,4/28/25,9403.60.80,Furniture (o/than seats & o/than of 9402) of wooden (o/than bentwood) nesoi
NY N347317,4/28/25,9403.60.80,Furniture (o/than seats & o/than of 9402) of wooden (o/than bentwood) nesoi
NY N347317,4/28/25,9403.60.80,Furniture (o/than seats & o/than of 9402) of wooden (o/than bentwood) nesoi
NY N347317,4/28/25,9903.01.63,
NY N347564,4/28/25,9903.01.24,
NY N347564,4/28/25,6404.19.87,"Footwear w/outer sole rub/plast. & upp. textile, nesoi, val. o/$6.50 but n/o $12/pr, not subj note 5 ch 64"
NY N347564,4/28/25,6404.19.87,"Footwear w/outer sole rub/plast. & upp. textile, nesoi, val. o/$6.50 but n/o $12/pr, not subj note 5 ch 64"
NY N347564,4/28/25,6404.19.87,"Footwear w/outer sole rub/plast. & upp. textile, nesoi, val. o/$6.50 but n/o $12/pr, not subj note 5 ch 64"
NY N347564,4/28/25,6404.19.87,"Footwear w/outer sole rub/plast. & upp. textile, nesoi, val. o/$6.50 but n/o $12/pr, not subj note 5 ch 64"
NY N347564,4/28/25,6404.19.87,"Footwear w/outer sole rub/plast. & upp. textile, nesoi, val. o/$6.50 but n/o $12/pr, not subj note 5 ch 64"
NY N347564,4/28/25,6404.19.87,"Footwear w/outer sole rub/plast. & upp. textile, nesoi, val. o/$6.50 but n/o $12/pr, not subj note 5 ch 64"
NY N347564,4/28/25,6404.19.87,"Footwear w/outer sole rub/plast. & upp. textile, nesoi, val. o/$6.50 but n/o $12/pr, not subj note 5 ch 64"
NY N347564,4/28/25,9903.01.63,
NY N347564,4/28/25,6404.19.89,"Footwear w/outer soles rub/plast. & upp. textile, nesoi, val. o/$6.50 but n/o $12/pr, subj note 5 ch 64"
NY N347564,4/28/25,6404.19.89,"Footwear w/outer soles rub/plast. & upp. textile, nesoi, val. o/$6.50 but n/o $12/pr, subj note 5 ch 64"
NY N347564,4/28/25,6404.19.89,"Footwear w/outer soles rub/plast. & upp. textile, nesoi, val. o/$6.50 but n/o $12/pr, subj note 5 ch 64"
NY N347564,4/28/25,6404.19.89,"Footwear w/outer soles rub/plast. & upp. textile, nesoi, val. o/$6.50 but n/o $12/pr, subj note 5 ch 64"
NY N347564,4/28/25,6404.19.89,"Footwear w/outer soles rub/plast. & upp. textile, nesoi, val. o/$6.50 but n/o $12/pr, subj note 5 ch 64"
NY N347564,4/28/25,6404.19.89,"Footwear w/outer soles rub/plast. & upp. textile, nesoi, val. o/$6.50 but n/o $12/pr, subj note 5 ch 64"
NY N347564,4/28/25,6404.19.89,"Footwear w/outer soles rub/plast. & upp. textile, nesoi, val. o/$6.50 but n/o $12/pr, subj note 5 ch 64"
NY N347564,4/28/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347564,4/28/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347564,4/28/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347564,4/28/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347564,4/28/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347564,4/28/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347564,4/28/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347567,4/28/25,9903.01.24,
NY N347567,4/28/25,6404.19.89,"Footwear w/outer soles rub/plast. & upp. textile, nesoi, val. o/$6.50 but n/o $12/pr, subj note 5 ch 64"
NY N347567,4/28/25,6404.19.89,"Footwear w/outer soles rub/plast. & upp. textile, nesoi, val. o/$6.50 but n/o $12/pr, subj note 5 ch 64"
NY N347567,4/28/25,6404.19.89,"Footwear w/outer soles rub/plast. & upp. textile, nesoi, val. o/$6.50 but n/o $12/pr, subj note 5 ch 64"
NY N347567,4/28/25,6404.19.89,"Footwear w/outer soles rub/plast. & upp. textile, nesoi, val. o/$6.50 but n/o $12/pr, subj note 5 ch 64"
NY N347567,4/28/25,6404.19.89,"Footwear w/outer soles rub/plast. & upp. textile, nesoi, val. o/$6.50 but n/o $12/pr, subj note 5 ch 64"
NY N347567,4/28/25,6404.19.89,"Footwear w/outer soles rub/plast. & upp. textile, nesoi, val. o/$6.50 but n/o $12/pr, subj note 5 ch 64"
NY N347567,4/28/25,6404.19.89,"Footwear w/outer soles rub/plast. & upp. textile, nesoi, val. o/$6.50 but n/o $12/pr, subj note 5 ch 64"
NY N347567,4/28/25,9903.01.63,
NY N347567,4/28/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347567,4/28/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347567,4/28/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347567,4/28/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347567,4/28/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347567,4/28/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347567,4/28/25,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N347567,4/28/25,6404.19.20,"Ftwear w/outer soles rubber/plastic & uppers textile, nesoi, designed to protect agst liquids, chemicals & weather"
NY N347567,4/28/25,6404.19.20,"Ftwear w/outer soles rubber/plastic & uppers textile, nesoi, designed to protect agst liquids, chemicals & weather"
NY N347567,4/28/25,6404.19.20,"Ftwear w/outer soles rubber/plastic & uppers textile, nesoi, designed to protect agst liquids, chemicals & weather"
NY N347567,4/28/25,6404.19.20,"Ftwear w/outer soles rubber/plastic & uppers textile, nesoi, designed to protect agst liquids, chemicals & weather"
NY N347567,4/28/25,6404.19.20,"Ftwear w/outer soles rubber/plastic & uppers textile, nesoi, designed to protect agst liquids, chemicals & weather"
NY N347567,4/28/25,6404.19.20,"Ftwear w/outer soles rubber/plastic & uppers textile, nesoi, designed to protect agst liquids, chemicals & weather"
NY N347567,4/28/25,6404.19.20,"Ftwear w/outer soles rubber/plastic & uppers textile, nesoi, designed to protect agst liquids, chemicals & weather"
NY N347798,4/28/25,8531.20.00,Indicator panels incorporating liquid crystal devices (LCD's) or light emitting diodes (LED's)
